contentid,contenttypeid,title,addr1,addr2,zipcode,tel,mapx,mapy,mlevel,firstimage,firstimage2,cpyrhtDivCd,createdtime,modifiedtime,areacode,sigungucode,lDongRegnCd,lDongSignguCd,cat1,cat2,cat3,lclsSystm1,lclsSystm2,lclsSystm3
2836502,39,제주해조네 보말성게전문점,제주특별자치도 서귀포시 안덕면 대평감산로 12,,63533,,126.3668593459,33.2358042713,6,http://tong.visitkorea.or.kr/cms/resource/99/2836499_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/99/2836499_image3_1.jpg,Type3,20220812172354,20250528180136,39,3,50,130,A05,A0502,A05020100,FD,FD01,FD010100
2836808,39,지은이네밥상,제주특별자치도 서귀포시 성산읍 고성오조로97번길 17,,63640,,126.9121210656,33.4520585324,6,http://tong.visitkorea.or.kr/cms/resource/06/2836806_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/06/2836806_image3_1.jpg,Type3,20220816130515,20250528182144,39,3,50,130,A05,A0502,A05020100,FD,FD01,FD010100
2836814,12,서귀포칠십리시공원,제주특별자치도 서귀포시 현청로 41-19 (서홍동),,63578,,126.5546540140,33.2668503757,6,https://tong.visitkorea.or.kr/cms/resource/24/4072824_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/24/4072824_image3_1.jpg,Type1,20220816131418,20260610083438,,,50,130,,,,NA,NA04,NA040700
2836825,39,카페루시아 본점,제주특별자치도 서귀포시 안덕면 난드르로 49-17,,63533,,126.3632402420,33.2346182342,6,http://tong.visitkorea.or.kr/cms/resource/18/2836818_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/18/2836818_image3_1.jpg,Type3,20220816132347,20250529171453,39,3,50,130,A05,A0502,A05020900,FD,FD05,FD050100
2836855,14,포도뮤지엄,제주특별자치도 서귀포시 산록남로 788 포도뮤지엄,,63525,,126.3859690212,33.3192651702,6,https://tong.visitkorea.or.kr/cms/resource/79/4070579_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/79/4070579_image3_1.jpg,Type1,20220816133845,20260605084251,,,50,130,,,,VE,VE07,VE070600
2836873,39,미스틱3도,제주특별자치도 제주시 1100로 2894-49 (노형동),,63079,,126.4873801880,33.4500241681,6,http://tong.visitkorea.or.kr/cms/resource/64/2836864_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/64/2836864_image3_1.jpg,Type3,20220816134922,20250529172609,39,4,50,110,A05,A0502,A05020900,FD,FD05,FD050100
2836891,39,바람벽에흰당나귀,제주특별자치도 제주시 구좌읍 동복로 11,,63347,,126.7076142444,33.5538828606,6,http://tong.visitkorea.or.kr/cms/resource/84/2836884_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/84/2836884_image3_1.jpg,Type3,20220816135620,20250626145816,39,4,50,110,A05,A0502,A05020900,FD,FD05,FD050100
2836910,12,송당무끈모루,제주특별자치도 제주시 비자림로 1661-13,,63355,,126.7718717118,33.4567748088,6,https://tong.visitkorea.or.kr/cms/resource/08/4074508_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/08/4074508_image3_1.jpg,Type1,20220816140512,20260612145812,,,50,110,,,,NA,NA01,NA010200
2836964,39,외도339,제주특별자치도 제주시 일주서로 7345 (외도이동),,63068,,126.4317173715,33.4937712193,6,http://tong.visitkorea.or.kr/cms/resource/49/2836949_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/49/2836949_image3_1.jpg,Type3,20220816142852,20250529175516,39,4,50,110,A05,A0502,A05020900,FD,FD05,FD050100
2836976,39,제주돔베고기집,제주특별자치도 제주시 월랑로4길 6 (노형동),,63098,,126.4784939918,33.4879031676,6,http://tong.visitkorea.or.kr/cms/resource/68/2836968_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/68/2836968_image3_1.jpg,Type3,20220816143439,20250529180309,39,4,50,110,A05,A0502,A05020100,FD,FD01,FD010100
